Latitude;Longitude;State;City;Street;HouseNumber;PostCode
44.8051151;-68.7579728;ME;Bangor;Birch Street;22;04401
44.8033103;-68.7803046;ME;Bangor;George Street;22;04401
44.8067093;-68.7604636;ME;Bangor;Maple Street;22;04401
44.8110477;-68.7923083;ME;Bangor;Sixteenth Street;22;04401
44.7998512;-68.7768343;ME;Bangor;Third Street;22;04401
44.7946247;-68.7834919;ME;Bangor;Vine Street;22;04401
44.7979285;-68.7931582;ME;Bangor;West Street;22;04401
44.8051512;-68.7580043;ME;Bangor;Birch Street;24;04401
44.8073300;-68.7645898;ME;Bangor;Elm Street;24;04401
44.7983781;-68.7738877;ME;Bangor;First Street;24;04401
44.8050130;-68.7651240;ME;Bangor;Grove Street;24;04401
44.8167149;-68.7581330;ME;Bangor;Hemlock Street;24;04401
44.8045989;-68.7809699;ME;Bangor;Highland Avenue;24;04401
44.7956265;-68.7896327;ME;Bangor;Lincoln Street;340;04401
44.7953082;-68.7928262;ME;Bangor;Mountain View Avenue;25;04401
44.7957902;-68.7930141;ME;Bangor;Mountain View Avenue;14;04401
44.7956999;-68.7928437;ME;Bangor;Mountain View Avenue;18;04401
44.7956095;-68.7926671;ME;Bangor;Mountain View Avenue;24;04401
44.7955326;-68.7924398;ME;Bangor;Mountain View Avenue;28;04401
44.7964860;-68.7776501;ME;Bangor;Second Street;105;04401
44.7965893;-68.7775549;ME;Bangor;Second Street;101;04401
44.7973082;-68.7768883;ME;Bangor;Second Street;77;04401
44.7973606;-68.7760600;ME;Bangor;Second Street;64;04401
44.7977529;-68.7764315;ME;Bangor;Second Street;61;04401
44.7981624;-68.7763730;ME;Bangor;Cedar Street;76;04401
44.7961358;-68.7757992;ME;Bangor;First Street;96;04401
44.7984440;-68.7731035;ME;Bangor;Main Street;183;04401
44.7985488;-68.7737479;ME;Bangor;First Street;18;04401
44.8000174;-68.7789389;ME;Bangor;Fourth Street;39;04401
44.7993195;-68.7788404;ME;Bangor;Cedar Street;132;04401
44.7990828;-68.7797833;ME;Bangor;Fourth Street;65;04401
44.7988078;-68.7795946;ME;Bangor;Fourth Street;70;04401
44.7986371;-68.7797470;ME;Bangor;Fourth Street;78;04401
44.7979811;-68.7803627;ME;Bangor;Fourth Street;100;04401
44.7958572;-68.7806805;ME;Bangor;Third Street;154;04401
44.7992164;-68.7814201;ME;Bangor;Fifth Street;63;04401
44.8004432;-68.7803407;ME;Bangor;Fifth Street;25;04401
44.8000724;-68.7818152;ME;Bangor;Sixth Street;20;04401
44.8003475;-68.7820797;ME;Bangor;Sixth Street;19;04401
44.8004507;-68.7819086;ME;Bangor;Sixth Street;5;04401
44.7999341;-68.7824289;ME;Bangor;Sixth Street;29;04401
44.7992602;-68.7831395;ME;Bangor;Williams Street;4;04401
44.7997200;-68.7834981;ME;Bangor;Williams Street;15;04401
44.7994733;-68.7839226;ME;Bangor;Williams Street;26;04401
44.7994737;-68.7841376;ME;Bangor;Williams Street;28;04401
44.8000863;-68.7844071;ME;Bangor;Seventh Street;12;04401
44.8034123;-68.7990184;ME;Bangor;Allen Street;179;04401
44.7996659;-68.7882335;ME;Bangor;Bowdoin Street;15;04401
44.7997508;-68.7879044;ME;Bangor;Bowdoin Street;20;04401
44.7998366;-68.7880748;ME;Bangor;Bowdoin Street;16;04401
44.7994735;-68.7888537;ME;Bangor;Vernon Street;23;04401
44.7989145;-68.7883880;ME;Bangor;Wing Street;44;04401
44.7992265;-68.7867305;ME;Bangor;Bowdoin Street;44;04401
44.7990956;-68.7865350;ME;Bangor;Bowdoin Street;46;04401
44.7989916;-68.7862888;ME;Bangor;Bowdoin Street;52;04401
44.7996703;-68.7857932;ME;Bangor;Pier Street;36;04401
44.7999700;-68.7847869;ME;Bangor;Seventh Street;15;04401
